"location","population","highestinfectioncount","percentpopulationinfected"
"Cyprus",896007,660854,0.73755450571256697771
"San Marino",33690,24263,0.7201840308696942713
"Austria",8939617,6074437,0.67949633636429838102
"Brunei",449002,303719,0.6764312853840294698
"Faeroe Islands",53117,34658,0.6524841387879586573
"Slovenia",2119843,1344104,0.63405827695730297008
"Gibraltar",32677,20550,0.62888270037029103039
"Martinique",367512,229975,0.6257618798841942576
"South Korea",51815808,31548083,0.60885054614993169652
"Andorra",79843,48015,0.60136768408000701376
"Jersey",110796,66391,0.59921838333513845265
"Greece",10384972,6059649,0.5835017176743471239
"Saint Pierre and Miquelon",5885,3426,0.58215802888700084962
"Denmark",5882259,3413431,0.58029253727182023097
"France",67813000,39010097,0.57525986167843923731
"Iceland",372903,209191,0.56097966495308431415
"Guernsey",63329,35326,0.55781711380252333054
"Liechtenstein",39355,21468,0.54549612501588108245
"Portugal",10270857,5585859,0.54385520117746746937
"Latvia",1850654,977891,0.52840293215263360952
"Guadeloupe",395762,202836,0.51252015099984334019
"Israel",9449000,4825362,0.51067435707482273256
"Reunion",974062,494595,0.50776541944968595428
"Falkland Islands",3801,1923,0.50591949486977111287
"Switzerland",8740471,4404916,0.50396780676922330616
"Saint Barthelemy",10994,5494,0.49972712388575586684
"Luxembourg",647601,319959,0.49406810675091607332
"Georgia",3744385,1842046,0.49194887812017193745
"Netherlands",17564020,8610372,0.4902278635528768471
"Lithuania",2750058,1320046,0.48000660349708987956
"Seychelles",107135,50937,0.47544686610351425771
"Bahrain",1472237,696614,0.47316702405930566886
"Estonia",1326064,618608,0.46649935448062838596
"Montenegro",627082,291830,0.46537773369352014569
"Germany",83369840,38423300,0.46087769869775448771
"Monaco",36491,16789,0.46008604861472691897
"Cayman Islands",68722,31472,0.45796106050464189052
"Isle of Man",84534,38008,0.44961790522156765325
"New Zealand",5185289,2295559,0.44270608639171317163
"Czechia",10493990,4641759,0.44232546438485266329
"Bonaire Sint Eustatius and Saba",27052,11885,0.43933905071713736507
"Italy",59037472,25842595,0.43773207294512881581
"Australia",26177410,11339196,0.43316722318976552684
"Singapore",5637022,2438690,0.4326202736125564172
"Nauru",12691,5393,0.42494681270191474273
"Cook Islands",17032,7106,0.41721465476749647722
"Aruba",106459,44180,0.41499544425553499469
"Belgium",11655923,4798041,0.41163973028991354867
"Niue",1952,802,0.41086065573770491803
"European Union",450146793,184155515,0.4091010262956599582
"Saint Helena",5401,2166,0.40103684502869838919
"Saint Martin (French part)",31816,12303,0.38669223032436509932
"Marshall Islands",41593,16081,0.38662755752169836271
"Barbados",281646,107794,0.38272867358315047968
"Serbia",6871547,2540323,0.36968720435150920164
"United Kingdom",67508936,24611066,0.36456012282581375597
"Maldives",523798,186625,0.35629192933153620289
"Puerto Rico",3252412,1122076,0.34499811217029084876
"Ireland",5023108,1711691,0.34076332820237988114
"High income",1250514600,421937766,0.33741130731300538194
"Europe",744807803,249444115,0.33491071655703370766
"Palau",18084,6000,0.33178500331785003318
"Slovakia",5643455,1866814,0.33079275018583474131
"French Guiana",304568,98041,0.32190184129652491398
"Montserrat",4413,1403,0.31792431452526625878
"Croatia",4030361,1273671,0.31601908613149045458
"Oceania",45038860,14123186,0.31357778593863166164
"United States",338289856,103436829,0.30576390975199682015
"Uruguay",3422796,1037893,0.30322958189737279113
"Wallis and Futuna",11596,3508,0.30251810969299758537
"Guam",171783,51427,0.29937188196736580453
"Mongolia",3398373,1008655,0.29680526534315097254
"Bermuda",64207,18860,0.29373744295793293566
"Spain",47558632,13868227,0.29160273155039446887
"Northern Mariana Islands",49574,13896,0.28030822608625489168
"New Caledonia",289959,80058,0.27610110394917902186
"Norway",5434324,1484448,0.27316148245853578108
"Japan",123951696,33803572,0.27271568756913176888
"Chile",19603736,5286815,0.26968405410070815073
"Finland",5540745,1478305,0.26680617859150709877
"Sweden",10549349,2709041,0.25679698339679538519
"French Polynesia",306292,78569,0.25651665730740600473
"United States Virgin Islands",99479,25046,0.25177173071703575629
"Sint Maarten (Dutch part)",44192,11030,0.24959268645908761767
"Anguilla",15877,3904,0.24589028153933362726
"Tuvalu",11335,2779,0.24516982796647551831
"Curacao",191173,45812,0.23963635032143660454
"Costa Rica",5180836,1230552,0.23751996781986536536
"Panama",4408582,1038642,0.2355954817217871869
"Mauritius",1299478,304233,0.23411939255608790607
"British Virgin Islands",31332,7305,0.23314821907315204902
"Micronesia (country)",114178,26453,0.23168211038904167178
"Lebanon",5489744,1237556,0.22543054830972081758
"Malta",533293,118631,0.22244994777730065836
"Hungary",9967304,2202491,0.22097158870643455843
"Argentina",45510324,10044957,0.22071820451113466035
"Dominica",72758,15760,0.21660848291596800352
"Greenland",56494,11971,0.21189860870180904167
"North America",600323657,124181584,0.20685772175058561785
"Turkey",85341248,17004677,0.19925507768529468892
"Bulgaria",6781955,1306862,0.19269694358042776751
"Qatar",2695131,511932,0.18994698216895579473
"Moldova",3272993,620519,0.18958763431513602382
"American Samoa",44295,8331,0.18807991872671859126
"Belize",405285,70782,0.17464747029867870758
"Brazil",215313504,37553337,0.17441236291431121756
"Romania",19659270,3402356,0.17306624304971649507
"Saint Lucia",179872,30052,0.16707436399217221135
"North Macedonia",2093606,348276,0.16635221717935466368
"Poland",39857144,6516424,0.16349450427255901727
"Armenia",2780472,449169,0.1615441550930921081
"Russia",144713312,22917873,0.15836741404964872893
"Tonga",106867,16817,0.15736382606417322466
"South America",436816679,68599947,0.15704516401948104184
"Grenada",125459,19693,0.15696761491802102679
"Kuwait",4268886,665909,0.15599128203470413593
"Jordan",11285875,1746997,0.15479499817249437904
"Kosovo",1782115,273889,0.15368761275226346223
"Malaysia",33938216,5094448,0.15010948129978311176
"Turks and Caicos Islands",45726,6588,0.14407558063246293137
"Ukraine",39701744,5549708,0.13978499282046652661
"Saint Kitts and Nevis",47681,6600,0.13841991568968771628
"Palestine",5250076,703228,0.13394625144474099042
"Suriname",618046,82513,0.13350624387181536649
"Peru",34049588,4505860,0.13233229136282060153
"Mayotte",326113,42027,0.12887250738241039149
"Botswana",2630300,329862,0.12540850853514808197
"Trinidad and Tobago",1531043,191496,0.12507552041320851211
"Bosnia and Herzegovina",3233530,402940,0.12461303900072057473
"Colombia",51874028,6366777,0.12273535033755234893
"Canada",38454328,4669364,0.12142622801781895656
"Vietnam",98186856,11602738,0.11816997175263458889
"Albania",2842318,334090,0.11754138699469939676
"United Arab Emirates",9441138,1066641,0.11297801176087035271
"Paraguay",6780745,735759,0.10850710357047787522
"Cape Verde",593162,63820,0.10759286670420559645
"Belarus",9534956,994037,0.10425187069557531257
"Cuba",11212198,1113830,0.0993409142435765048
"Bolivia",12224114,1198404,0.09803606216368728237
"Antigua and Barbuda",93772,9106,0.09710787868446871134
"Upper middle income",2525921300,243871889,0.09654769885348367742
"World",7975105024,766894311,0.09616102969078592538
"Tunisia",12356116,1153161,0.09332714260694865603
"Bahamas",409989,38084,0.09289029705675030306
"Saint Vincent and the Grenadines",103959,9631,0.09264229167267865216
"Guyana",808727,73207,0.0905212760301065749
"Oman",4576300,399449,0.08728645412232589647
"Iran",88550568,7611138,0.08595244696792910464
"Pitcairn",47,4,0.08510638297872340426
"Azerbaijan",10358078,831735,0.08029819817923749947
"Bhutan",782457,62670,0.08009385819284638006
"Kazakhstan",19397998,1502857,0.07747485075521711055
"Samoa",222390,16763,0.07537659067404109897
"Libya",6812344,507255,0.07446115463341252291
"Fiji",929769,68921,0.07412701434442318468
"Guatemala",17843914,1251086,0.07011275665193185755
"China",1425887360,99261812,0.06961406264236748687
"South Africa",59893884,4072533,0.06799580738494100666
"Namibia",2567024,171310,0.06673486496425432719
"Thailand",71697024,4738988,0.06609741570305623843
"Asia",4721383370,297452082,0.06300104411982965069
"Eswatini",1201680,74670,0.06213800679049330937
"Mexico",127504120,7611736,0.05969796113255006975
"Ecuador",18001002,1061766,0.0589837165731107635
"Dominican Republic",11228821,661176,0.05888205003891325723
"Iraq",44496124,2465545,0.05541033192014657277
"Jamaica",2827382,154938,0.05479910390601623693
"Honduras",10432858,472619,0.04530100956037166422
"Kiribati",131237,5027,0.03830474637487903564
"Vanuatu",326744,12016,0.0367749675587003893
"Philippines",115559008,4127628,0.0357187905247507836
"Morocco",37457976,1274180,0.03401625330743978265
"Nepal",30547586,1003307,0.03284406826778390934
"Vatican",808,26,0.03217821782178217822
"El Salvador",6336393,201785,0.03184540479102227403
"India",1417173120,44987339,0.0317444201877043787
"Kyrgyzstan",6630621,206890,0.0312022056455948847
"Sri Lanka",21832150,672380,0.03079769972265672414
"Solomon Islands",724272,21611,0.02983823756820641969
"Laos",7529477,218196,0.02897890517495438262
"Sao Tome and Principe",227393,6575,0.02891469834163760538
"Lower middle income",3432097300,97571014,0.02842897664935082114
"Indonesia",275501344,6803504,0.02469499386543827532
"Saudi Arabia",36408824,841469,0.02311167754278468319
"Gabon",2388997,48992,0.02050735099290622801
"Venezuela",28301700,552695,0.01952868555599133621
"Timor",1341298,23444,0.01747859163288098543
"Zambia",20017670,343995,0.01718456743467146776
"Zimbabwe",16320539,264848,0.01622789541448355351
"Lesotho",2305826,34490,0.01495776350860819507
"Djibouti",1120851,15690,0.01399829236892325563
"Mauritania",4736146,63669,0.01344320888756385466
"Bangladesh",171186368,2038708,0.01190928941257752486
"Myanmar",54179312,638116,0.01177785350984154247
"Comoros",836783,9109,0.01088573740145294539
"Equatorial Guinea",1674916,17130,0.01022737856704455626
"Rwanda",13776702,133194,0.00966806134007979559
"Africa",1426736614,13087903,0.00917331403117688546
"Cambodia",16767851,138740,0.0082741670354775934
"Uzbekistan",34627648,253662,0.00732541811676034133
"Mozambique",32969520,233417,0.00707978156794518088
"Pakistan",235824864,1580631,0.00670256296638848056
"Kenya",54027484,343074,0.00634999031233806853
"Algeria",44903228,271820,0.00605346234796304622
"Afghanistan",41128772,220059,0.00535048797469567047
"Senegal",17316452,88997,0.00513944773444352226
"Ghana",33475870,171653,0.00512766359768991814
"Gambia",2705995,12626,0.00466593618983035815
"Egypt",110990096,516023,0.00464927068808013284
"Papua New Guinea",10142625,46864,0.00462050011708014444
"Guinea-Bissau",2105580,9614,0.00456596282259519942
"Cameroon",27914542,125036,0.00447924239631085475
"Togo",8848700,39491,0.0044629154565077356
"Malawi",20405318,88638,0.00434386761333491593
"Congo",5970430,25195,0.00421996405619025765
"Burundi",12889583,53751,0.00417011163200547295
"Ethiopia",123379928,500872,0.00405959063292693768
"Uganda",47249588,170775,0.00361431722960208669
"Cote d'Ivoire",28160548,88330,0.00313665770992808805
"Low income",737604900,2302799,0.00312199525789484316
"Angola",35588996,105384,0.00296114001080558721
"Haiti",11585003,34237,0.00295528624377568137
"Guinea",13859349,38563,0.00278245392334084379
"Eritrea",3684041,10189,0.00276571297659282294
"Central African Republic",5579148,15367,0.00275436321101358129
"Tokelau",1893,5,0.00264131008980454305
"Syria",22125242,57423,0.00259536144282625248
"Madagascar",29611718,68266,0.00230537113719643014
"Nicaragua",6948395,15720,0.00226239296988729052
"Benin",13352864,28014,0.00209797688346110617
"Tajikistan",9952789,17786,0.00178703677933893706
"South Sudan",10913172,18368,0.00168310368424505726
"Somalia",17597508,27334,0.00155328811329422325
"Liberia",5302690,8090,0.00152564075968989324
"Mali",22593598,33148,0.00146714126718550981
"Sudan",46874200,63993,0.00136520729953791211
"Nigeria",218541216,266675,0.00122025037144480792
"Democratic Republic of Congo",99010216,96652,0.00097618209417904916
"Burkina Faso",22673764,22056,0.00097275423701155221
"Sierra Leone",8605723,7762,0.00090195791800410029
"Tanzania",65497752,43078,0.00065770196204596457
"Chad",17723312,7698,0.00043434319725342532
"Niger",26207982,9513,0.00036298101853091932
"Yemen",33696612,11945,0.00035448667658339064
"Hong Kong",7488863,0,0
"Taiwan",23893396,0,0
"North Korea",26069416,0,0
"Turkmenistan",6430777,0,0
"Macao",695180,0,0
"Scotland",5466000,0,0
"Western Sahara",576005,0,0
"Wales",3170000,0,0
"Northern Cyprus",382836,0,0
"England",56550000,0,0
"Northern Ireland",1896000,0,0
